line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
60,28,22,2,13,49,37,4,0,8,28
61,87,78,2,34,146,124,39,1,11,87
62,41,32,2,16,64,54,7,1,11,41
63,25,23,0,7,49,36,15,1,2,25
64,28,24,2,11,51,28,22,0,6,28
65,17,13,0,4,24,24,4,1,4,17
66,13,10,1,4,22,11,13,0,4,13
67,39,34,0,15,70,54,14,0,5,39
68,19,14,0,4,31,20,19,0,5,19
69,6,6,0,1,13,21,1,0,0,6
70,60,48,1,26,103,86,11,3,12,60
71,25,19,1,10,46,33,9,0,7,25
72,70,61,3,28,115,94,29,1,12,70
73,74,60,2,28,117,94,32,2,16,74
74,22,18,2,10,26,24,5,0,6,22
75,48,42,1,20,86,60,27,1,7,48
76,33,31,2,23,49,32,9,2,4,33
77,36,25,2,11,36,36,8,0,13,36
78,47,36,2,14,63,60,10,1,13,47
79,4,4,0,1,8,10,0,0,0,4
80,56,45,4,20,87,81,16,1,15,56
81,32,25,0,11,50,49,12,1,7,32
82,37,32,2,20,58,38,20,2,7,37
83,23,21,2,10,40,29,11,0,4,23
84,27,25,1,11,43,33,16,1,3,27
85,12,11,1,5,18,19,6,0,2,12
86,20,15,0,7,28,19,19,0,5,20
87,34,24,2,12,49,36,17,0,12,34
88,31,23,2,13,51,37,9,0,10,31
89,17,16,1,10,31,17,8,0,2,17
90,11,10,0,6,21,11,5,0,1,11
91,9,9,0,1,20,23,4,0,0,9
92,32,28,0,5,66,66,8,0,4,32
93,29,22,0,8,52,43,14,1,7,29
94,31,24,1,8,56,48,19,0,8,31
95,21,18,0,4,35,35,12,0,3,21
96,8,8,0,2,14,15,6,0,0,8
97,31,29,2,14,71,48,17,1,4,31
98,56,48,4,22,83,90,7,0,12,56
99,17,15,0,6,30,25,5,0,2,17
100,32,28,0,14,50,43,11,0,4,32
101,38,31,2,16,54,46,18,0,9,38
102,35,28,1,13,48,40,15,1,8,35
103,20,18,0,7,37,39,4,0,2,20
104,21,18,1,10,43,31,14,0,4,21
105,44,37,3,18,57,59,8,0,10,44
106,41,34,6,15,60,50,13,1,13,41
107,5,5,0,3,10,6,1,0,0,5
108,22,18,1,10,37,21,13,0,5,22
109,37,34,0,15,64,57,12,2,3,37
110,32,30,0,15,65,40,23,1,2,32
111,36,32,0,8,70,63,16,0,4,36
112,36,34,2,14,70,54,25,0,4,36
113,6,6,0,2,10,13,5,0,0,6
114,29,24,2,10,50,38,22,1,7,29
115,26,21,0,10,51,39,13,2,5,26
116,52,44,4,28,80,53,26,1,12,52
117,39,31,0,12,57,44,21,1,8,39
118,17,15,3,9,31,17,9,0,5,17
119,42,34,1,12,66,61,13,0,9,42
120,6,6,1,2,8,7,6,0,1,6
121,29,24,2,10,42,33,24,0,7,29
122,20,17,0,6,34,26,6,1,3,20
123,41,37,2,13,61,62,26,0,6,41
124,44,37,1,15,72,72,23,1,8,44
125,37,32,2,17,71,45,26,0,7,37
126,45,38,2,15,65,69,18,1,9,45
127,39,31,3,24,61,43,2,1,11,39
128,35,28,1,14,64,49,9,0,8,35
129,55,47,4,27,87,71,18,0,12,55
130,36,32,2,18,69,50,9,1,6,36
131,21,15,0,5,29,21,14,1,6,21
132,27,18,0,7,29,31,12,0,9,27
133,33,24,0,13,44,40,14,0,9,33
134,82,67,2,33,129,123,21,3,17,82
135,31,24,3,12,40,33,4,0,10,31
136,64,54,2,24,111,109,31,0,12,64
137,41,32,3,18,72,50,16,0,12,41
138,17,9,0,5,16,16,0,1,8,17
139,25,22,1,12,47,23,20,0,4,25
140,21,18,0,10,39,27,9,0,3,21
141,16,12,1,8,22,18,5,0,5,16
142,36,28,1,16,64,51,13,0,9,36
143,16,14,1,9,28,17,3,1,3,16
144,19,15,2,9,31,17,11,0,6,19
145,31,29,2,14,47,33,9,0,4,31
146,17,15,1,8,26,20,7,0,3,17
147,25,21,1,9,38,38,10,1,5,25
148,21,19,1,9,38,31,10,0,3,21
149,26,24,0,11,44,35,16,0,2,26
150,8,8,1,3,17,13,3,1,1,8
151,20,17,0,5,26,31,6,0,3,20
152,45,40,5,18,78,70,8,0,10,45
153,33,25,2,13,57,34,24,0,10,33
154,17,16,0,7,27,26,7,0,1,17
155,38,32,1,15,65,53,20,2,7,38
156,29,26,0,6,52,40,26,0,3,29
157,24,20,1,11,33,22,12,0,5,24
158,29,21,1,9,54,30,28,0,9,29
159,36,30,4,18,67,39,17,1,10,36
160,202,178,8,86,312,269,58,7,32,202
161,28,25,0,12,55,40,17,2,3,28
162,11,9,0,3,18,13,10,1,2,11
163,29,26,2,10,51,35,28,0,5,29
164,32,30,2,16,74,47,16,0,4,32
165,23,20,1,8,42,36,4,0,4,23
166,27,25,1,10,47,35,17,1,3,27
167,39,34,0,15,68,55,30,3,5,39
168,28,25,1,10,51,33,30,0,4,28
169,6,5,0,3,7,9,0,1,1,6
170,13,11,1,2,14,24,0,0,3,13
171,23,18,1,6,38,35,9,0,6,23
172,38,34,2,16,67,60,12,2,6,38
173,25,23,0,10,44,32,20,1,2,25
174,29,26,0,11,48,32,22,0,3,29
175,24,22,0,10,46,41,10,0,2,24
176,17,13,0,5,24,25,4,1,4,17
177,25,21,1,9,33,34,3,1,5,25
178,68,59,1,19,79,93,25,2,10,68
179,36,30,0,14,48,48,8,2,6,36
180,31,28,1,8,51,42,25,0,4,31
181,31,28,2,12,49,49,9,1,5,31
182,9,8,0,3,12,16,0,0,1,9
183,28,23,2,14,49,19,18,1,7,28
184,36,31,1,16,72,58,10,0,6,36
185,17,14,1,6,29,29,2,0,4,17
186,16,15,0,8,32,25,4,1,1,16
187,8,8,0,3,18,13,4,0,0,8
188,22,20,1,10,44,33,8,0,3,22
189,14,13,0,5,31,24,3,1,1,14
190,23,19,2,8,42,27,5,1,6,23
191,37,36,2,12,77,55,38,0,3,37
192,38,33,4,18,78,55,23,0,9,38
193,22,19,1,9,44,27,9,0,4,22
194,8,8,0,3,17,17,6,0,0,8
195,40,37,0,14,84,54,29,1,3,40
196,21,17,1,13,31,22,5,1,5,21
197,27,24,0,12,52,29,26,1,3,27
198,22,20,1,11,49,27,16,0,3,22
199,19,17,0,8,31,27,13,0,2,19
200,4,2,0,0,1,6,0,0,2,4
201,45,35,2,17,69,54,17,1,12,45
202,34,27,1,13,56,37,23,1,8,34
203,48,40,0,18,87,83,22,1,8,48
204,40,31,1,12,68,54,22,1,10,40
205,7,7,0,4,13,8,7,0,0,7
206,9,8,0,3,16,13,6,0,1,9
207,27,25,1,11,50,30,24,1,3,27
208,16,15,0,5,34,29,8,0,1,16
209,16,14,0,9,27,18,4,0,2,16
210,34,29,1,14,62,47,19,0,6,34
211,22,20,0,10,38,31,6,0,2,22
212,20,18,0,10,38,30,15,0,2,20
213,23,21,0,11,40,34,9,0,2,23
214,10,8,0,4,14,17,0,0,2,10
215,35,31,1,14,58,39,21,1,5,35
216,15,12,0,2,19,21,4,0,3,15
217,34,26,1,8,52,47,19,0,9,34
218,48,43,1,10,81,67,47,1,6,48
219,35,32,0,3,58,63,22,0,3,35
220,25,22,0,7,46,37,18,0,3,25
221,35,30,1,12,59,52,22,0,6,35
222,21,15,0,4,38,24,12,0,6,21
223,8,8,0,3,13,14,4,0,0,8
224,25,23,1,10,46,40,13,2,3,25
225,40,36,2,18,78,65,12,0,6,40
226,38,32,2,10,63,58,21,0,8,38
227,36,32,2,17,67,56,5,1,6,36
228,33,31,0,13,52,55,6,0,2,33
229,20,18,0,5,30,36,3,0,2,20
230,43,39,3,11,67,83,10,1,7,43
231,12,11,0,5,26,19,7,0,1,12
232,12,10,0,2,15,23,4,0,2,12
233,33,28,1,11,50,44,22,1,6,33
234,19,17,0,13,43,28,5,0,2,19
235,26,22,1,8,44,33,24,0,5,26
236,26,20,2,10,32,31,11,1,8,26
237,37,28,0,9,48,53,14,0,9,37
238,50,43,2,24,82,49,31,2,9,50
239,34,30,4,19,58,37,18,1,8,34
240,28,25,2,10,45,47,7,0,5,28
241,33,31,0,14,65,53,16,1,2,33
242,28,22,0,10,55,37,16,0,6,28
243,18,16,0,9,30,27,3,1,2,18
244,24,22,1,13,44,30,15,0,3,24
245,16,13,0,6,20,23,3,0,3,16
246,24,21,2,8,31,32,3,0,5,24
247,32,26,1,15,45,37,7,3,7,32
248,53,43,10,29,86,49,13,0,20,53
249,54,44,4,23,78,61,10,1,14,54
250,39,31,5,21,62,37,15,0,13,39
251,17,16,0,8,29,21,7,1,1,17
252,42,34,2,21,79,34,37,0,10,42
253,32,25,4,15,58,30,8,0,11,32
254,17,13,0,10,26,14,8,0,4,17
255,15,14,0,5,20,24,5,0,1,15
256,26,24,0,16,47,38,12,0,2,26
257,27,25,1,12,40,29,18,0,3,27
258,24,21,1,10,35,32,11,0,4,24
259,34,29,5,17,59,38,9,0,10,34
260,45,40,1,17,86,56,26,0,6,45
261,31,28,0,16,61,37,18,0,3,31
262,30,27,3,17,67,39,14,0,6,30
263,12,12,1,6,26,20,4,0,1,12
264,22,18,0,4,37,36,15,0,4,22
265,73,64,1,30,127,94,43,2,10,73
266,31,24,0,6,38,45,7,0,7,31
267,36,32,1,14,61,50,21,0,5,36
268,6,6,0,3,13,13,4,0,0,6
269,18,15,0,5,31,23,19,0,3,18
270,28,23,0,14,47,38,9,0,5,28
271,10,9,0,4,18,16,5,0,1,10
272,28,24,2,15,48,32,10,0,6,28
273,13,11,0,5,18,21,2,0,2,13
274,34,30,0,16,68,62,18,1,4,34
275,6,6,1,5,14,8,0,0,1,6
276,14,13,2,5,33,27,3,0,3,14
277,23,20,3,13,44,17,14,0,6,23
278,20,18,0,10,44,26,10,0,2,20
279,38,35,1,16,65,58,14,0,4,38
280,11,10,0,7,26,16,4,0,1,11
281,19,18,1,11,44,27,12,0,2,19
282,29,23,1,13,50,35,6,0,7,29
283,4,4,0,1,8,11,4,0,0,4
284,21,13,1,7,33,23,6,1,9,21
285,29,22,1,8,35,42,6,0,8,29
286,17,15,0,6,31,21,11,0,2,17
287,30,24,2,12,49,43,13,0,8,30
288,14,12,1,3,18,16,9,0,3,14
289,27,21,0,11,45,32,15,2,5,27
290,14,12,1,2,17,21,6,0,3,14
291,46,36,0,18,83,72,17,3,9,46
292,6,5,0,1,6,9,6,0,1,6
293,79,69,0,25,154,115,67,1,10,79
294,35,30,3,12,62,50,33,0,8,35
295,35,31,2,14,59,48,22,0,6,35
296,31,28,0,14,68,47,24,0,3,31
297,24,22,0,11,45,27,17,1,2,24
298,26,22,1,10,51,48,4,0,5,26
299,10,10,0,4,17,17,2,0,0,10
300,19,17,0,7,35,22,22,0,2,19
301,41,37,0,19,80,59,24,1,4,41
302,49,43,1,19,81,64,25,0,7,49
303,24,23,1,15,48,33,7,1,2,24
304,22,21,0,10,44,32,18,0,1,22
305,19,18,0,9,45,32,13,1,1,19
306,17,15,1,7,19,17,11,1,3,17
307,35,31,0,16,58,42,23,2,4,35
308,59,53,3,21,116,79,51,1,9,59
309,30,27,0,15,62,36,22,0,3,30
310,8,7,0,2,10,11,2,0,1,8
311,58,52,0,19,104,87,25,1,6,58
312,30,27,0,10,44,48,11,0,3,30
313,58,45,1,21,83,68,22,1,13,58
314,72,64,4,28,105,104,18,0,12,72
315,32,29,2,15,72,44,21,1,5,32
316,37,32,1,13,62,53,15,0,6,37
317,69,58,2,22,104,110,27,0,13,69
318,49,41,4,15,72,71,20,0,12,49
319,20,19,0,8,34,32,5,0,1,20
320,16,13,2,4,13,22,1,0,5,16
321,15,14,1,6,25,25,6,1,2,15
322,30,23,0,11,46,39,7,2,7,30
323,34,24,1,18,45,31,11,0,11,34
324,24,21,1,10,36,24,21,0,4,24
325,37,32,1,18,68,43,14,3,6,37
326,40,37,3,20,64,56,11,1,6,40
327,67,60,1,30,97,99,8,1,8,67
328,24,22,0,11,36,40,2,1,2,24
329,28,26,1,14,54,55,1,1,3,28
330,24,21,1,11,38,35,4,0,4,24
331,9,7,1,5,13,5,5,0,3,9
332,6,5,0,1,4,8,6,0,1,6
333,57,50,4,27,104,70,33,3,11,57
334,19,17,2,6,37,26,12,0,4,19
335,31,28,0,10,53,37,21,1,3,31
336,29,26,1,14,49,31,26,1,4,29
337,32,29,1,19,64,41,11,0,4,32
338,27,25,1,15,57,39,14,2,3,27
339,47,41,1,16,68,62,29,3,7,47
340,28,26,0,11,54,49,17,0,2,28
341,14,14,0,5,28,30,2,0,0,14
342,40,34,0,13,71,69,9,4,6,40
343,61,53,1,25,108,96,28,2,9,61
344,32,29,0,11,56,52,9,1,3,32
345,34,31,2,13,63,72,2,0,5,34
346,40,34,0,15,65,56,14,2,6,40
347,33,29,1,11,76,58,13,0,5,33
348,40,34,0,16,68,63,11,0,6,40
349,74,58,4,26,106,107,29,1,20,74
350,108,100,2,33,203,198,58,0,10,108
351,29,26,1,12,53,53,6,0,4,29
352,31,28,1,11,53,48,16,0,4,31
353,34,31,0,14,75,47,30,0,3,34
354,18,17,1,7,33,30,11,0,2,18
355,23,20,1,8,40,39,4,1,4,23
