line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
163,95,79,2,26,126,113,43,2,16,95
164,70,53,1,27,99,70,28,0,18,70
165,37,31,1,17,58,39,12,0,7,37
166,71,55,4,29,98,69,27,1,20,71
167,48,36,3,14,57,54,17,0,15,48
168,121,103,4,48,174,145,43,1,22,121
169,55,37,7,25,67,43,7,0,25,55
170,9,9,0,3,12,10,8,0,0,9
171,189,161,5,86,259,216,66,2,33,189
172,95,84,4,41,134,108,33,1,14,95
173,6,5,0,2,10,10,1,0,1,6
174,59,52,2,24,87,80,22,0,9,59
175,90,73,7,42,119,97,23,2,24,90
176,122,103,4,52,161,137,43,3,23,122
177,125,112,10,53,189,178,30,2,23,125
178,7,7,2,5,16,8,2,0,2,7
179,40,37,2,21,73,51,11,2,5,40
180,56,42,1,22,81,54,20,0,15,56
181,49,44,0,24,74,66,16,2,5,49
182,22,21,2,12,34,27,13,0,3,22
183,8,8,0,2,10,11,10,0,0,8
184,91,86,4,46,159,124,34,0,9,91
185,67,60,3,31,104,98,10,1,10,67
186,75,67,4,23,121,93,61,2,11,75
187,51,45,1,22,92,70,31,0,6,51
188,22,20,0,9,34,27,3,0,2,22
189,44,38,1,15,72,50,23,0,7,44
190,77,68,3,31,106,97,19,2,12,77
191,56,52,1,21,95,92,15,0,5,56
192,6,6,0,3,10,10,4,0,0,6
193,39,37,0,18,70,65,15,0,2,39
194,56,51,2,26,96,73,18,0,7,56
195,19,17,1,4,21,32,3,1,3,19
196,16,14,0,6,23,28,1,0,2,16
197,12,12,0,6,26,22,5,0,0,12
198,84,78,5,42,147,116,24,5,11,84
199,57,51,5,31,105,70,18,2,11,57
200,53,46,3,24,85,64,19,1,10,53
201,48,45,2,24,80,62,30,0,5,48
202,51,45,2,28,89,63,23,2,8,51
203,79,71,9,44,140,87,30,0,17,79
204,9,9,0,2,16,5,24,0,0,9
205,118,101,6,47,187,147,57,2,22,118
206,97,83,0,36,170,133,30,1,14,97
207,115,105,2,54,194,161,49,1,12,115
208,9,8,0,3,8,15,0,0,1,9
209,55,51,1,24,80,70,13,1,5,55
210,62,50,2,33,93,72,22,0,14,62
211,31,29,0,12,52,44,15,0,2,31
212,33,29,3,17,49,37,7,2,7,33
213,40,36,1,14,49,61,5,0,5,40
214,9,9,1,4,13,15,0,0,1,9
215,82,74,5,36,142,109,45,1,13,82
216,83,74,3,33,129,100,45,0,12,83
217,43,39,2,18,67,53,14,0,6,43
218,8,8,0,1,9,14,2,1,0,8
219,32,25,1,11,37,42,7,1,8,32
220,87,74,4,34,131,117,30,1,17,87
221,34,31,0,17,47,46,13,1,3,34
222,4,4,0,3,10,6,0,0,0,4
223,43,40,0,24,76,60,12,1,3,43
224,30,28,1,16,54,38,7,0,3,30
225,35,31,2,18,62,44,5,1,6,35
226,38,33,2,18,53,39,11,2,7,38
227,31,29,1,16,50,43,10,0,2,31
228,9,9,0,3,16,16,4,0,0,9
229,31,28,2,13,56,33,16,0,5,31
230,42,36,1,14,61,54,20,0,7,42
231,27,23,1,10,40,36,6,0,5,27
232,49,41,0,24,78,69,8,1,8,49
233,10,10,0,4,12,15,1,2,0,10
234,25,21,2,10,31,30,6,1,6,25
235,37,31,1,10,44,57,7,0,7,37
236,28,24,1,14,46,33,7,0,5,28
237,17,15,1,10,27,13,3,0,3,17
238,32,28,2,16,48,39,4,0,6,32
239,47,36,4,19,62,46,14,0,15,47
240,10,9,2,5,18,14,0,0,3,10
241,26,21,2,16,42,21,8,0,7,26
242,61,59,5,30,99,81,18,0,7,61
243,37,36,5,16,51,54,7,2,6,37
244,46,44,4,20,73,57,17,3,6,46
245,6,6,0,1,12,11,8,0,0,6
246,32,31,2,13,44,53,10,1,3,32
247,117,110,3,46,194,151,51,0,10,117
248,8,6,0,1,12,11,4,0,2,8
249,193,181,11,84,290,259,47,3,23,193
250,9,9,0,7,19,9,5,0,0,9
251,148,119,7,57,193,169,34,3,36,148
252,13,13,0,5,23,20,2,0,0,13
253,29,25,0,10,38,38,6,0,4,29
254,3,3,0,0,2,3,3,0,0,3
255,53,50,1,34,90,66,12,0,4,53
256,3,3,0,0,3,3,4,0,0,3
257,42,40,2,23,75,50,15,0,4,42
258,1,1,0,0,2,1,1,0,0,1
259,27,26,1,9,42,45,7,0,2,27
260,11,11,2,5,19,21,1,0,2,11
261,42,35,3,24,68,43,10,0,10,42
262,47,44,2,16,68,66,10,2,5,47
263,14,13,1,7,27,16,7,0,2,14
264,44,39,3,25,61,48,11,0,8,44
265,40,36,3,18,67,51,11,1,7,40
266,50,45,1,21,68,72,9,1,6,50
267,43,40,0,25,68,47,12,0,3,43
268,56,51,2,21,80,73,20,1,7,56
269,50,48,3,22,73,50,26,0,5,50
270,8,8,0,6,13,15,0,1,0,8
271,56,42,2,23,67,72,4,0,16,56
272,75,67,1,24,88,91,25,3,9,75
273,6,6,0,4,14,8,2,0,0,6
274,84,71,5,41,129,95,17,3,18,84
275,14,12,1,5,21,24,3,0,3,14
276,51,46,1,21,81,76,16,0,6,51
277,43,39,3,24,71,47,19,0,7,43
278,13,12,1,6,20,12,9,0,2,13
279,63,52,4,26,76,73,14,2,15,63
280,21,17,1,7,32,30,2,0,5,21
281,11,10,1,6,15,14,0,0,2,11
282,71,58,6,32,108,87,13,1,19,71
283,107,94,7,46,165,141,30,2,20,107
284,13,12,0,7,24,16,3,0,1,13
285,25,23,2,7,31,39,6,0,4,25
286,12,8,1,5,16,9,3,0,5,12
287,11,10,0,4,15,18,5,0,1,11
288,48,39,4,26,71,53,4,1,13,48
289,18,13,1,6,20,26,1,0,6,18
290,15,12,0,5,20,20,4,0,3,15
291,10,5,0,1,7,10,1,0,5,10
292,15,13,0,4,20,28,0,0,2,15
293,11,9,0,3,21,12,6,0,2,11
294,62,52,2,27,97,84,15,0,12,62
295,38,34,1,15,53,47,11,0,5,38
296,51,45,3,25,79,53,20,2,9,51
297,44,36,3,19,78,58,13,1,11,44
298,5,5,0,3,11,6,5,0,0,5
299,60,55,2,28,91,62,38,0,7,60
300,33,31,2,14,56,51,5,1,4,33
301,63,55,4,31,101,67,23,2,12,63
302,7,7,1,2,9,9,3,0,1,7
303,54,50,1,27,89,68,16,1,5,54
304,56,48,0,18,78,70,21,0,8,56
305,34,32,3,17,65,39,19,0,5,34
306,7,7,0,2,6,12,1,0,0,7
307,38,35,2,14,43,49,11,2,5,38
308,51,46,2,23,78,62,15,1,7,51
309,40,35,2,20,57,47,9,2,7,40
310,40,32,4,19,48,34,6,2,12,40
311,9,9,2,6,18,9,2,0,2,9
312,29,25,3,13,47,36,12,0,7,29
313,37,32,2,11,50,50,11,1,7,37
314,33,30,2,14,47,43,8,1,5,33
315,25,17,2,10,32,24,1,1,10,25
316,15,14,0,8,25,20,1,1,1,15
317,27,23,1,13,39,34,7,0,5,27
318,16,15,1,10,34,16,6,1,2,16
319,24,21,0,8,28,20,18,0,3,24
320,29,25,2,13,42,38,9,0,6,29
321,44,38,2,16,63,61,18,0,8,44
322,28,24,1,12,44,30,11,0,5,28
323,39,32,3,17,50,45,7,0,10,39
324,11,10,0,3,14,16,5,0,1,11
325,22,20,1,7,36,36,2,0,3,22
326,34,29,1,9,45,53,10,0,6,34
327,37,32,2,15,56,39,22,1,7,37
328,42,34,1,17,56,45,14,0,9,42
329,23,22,1,15,39,29,6,0,2,23
330,28,25,1,11,40,38,3,1,4,28
331,13,13,1,4,13,12,7,0,1,13
332,542,466,27,232,766,647,156,12,103,542
333,10,8,0,3,13,7,9,0,2,10
334,32,29,0,18,48,40,9,1,3,32
335,86,83,3,55,155,98,38,2,6,86
336,67,62,3,32,104,81,26,1,7,67
337,66,61,5,30,109,74,27,0,10,66
338,42,41,2,18,64,55,12,0,3,42
339,13,13,1,8,28,21,2,0,1,13
340,67,62,1,26,117,99,26,0,6,67
341,50,47,2,24,88,62,17,2,5,50
342,43,35,1,18,64,40,20,1,9,43
343,23,20,0,11,38,21,15,0,3,23
344,64,59,1,30,114,91,33,0,6,64
345,22,21,2,13,42,26,9,0,3,22
346,9,9,0,6,17,9,5,1,0,9
347,78,72,5,44,131,100,25,1,11,78
348,79,71,5,35,122,121,17,0,13,79
349,36,33,1,22,65,48,4,0,4,36
350,60,55,3,31,103,81,23,0,8,60
351,32,30,0,15,54,41,17,0,2,32
352,37,35,2,18,66,60,12,0,4,37
353,58,52,0,26,89,76,23,0,6,58
354,49,41,2,18,72,69,13,0,10,49
355,29,27,2,14,58,36,14,1,4,29
356,10,10,0,4,20,14,6,0,0,10
357,68,61,5,36,113,80,11,0,12,68
358,70,63,3,27,115,110,22,1,10,70
359,58,54,3,29,103,74,29,0,7,58
360,29,27,2,17,54,40,11,0,4,29
361,11,11,0,7,30,14,7,0,0,11
362,40,37,2,17,67,67,7,0,5,40
363,67,52,3,25,82,72,16,1,18,67
364,52,40,3,22,76,55,23,0,15,52
365,60,53,4,26,81,75,13,0,11,60
366,14,14,0,8,28,27,4,0,0,14
367,67,55,2,21,97,92,22,0,14,67
368,80,63,1,30,118,114,16,0,18,80
369,34,32,1,19,63,54,8,0,3,34
370,42,35,1,12,60,62,17,0,8,42
371,7,7,0,3,13,15,1,0,0,7
372,72,68,2,29,107,96,41,0,6,72
373,50,44,1,19,64,73,11,0,7,50
374,58,52,0,29,96,74,22,0,6,58
375,50,43,4,19,73,67,15,0,11,50
376,40,35,0,22,63,47,19,0,5,40
377,7,6,0,4,13,8,1,0,1,7
378,45,43,3,25,81,55,14,1,5,45
379,26,24,3,13,45,29,7,0,5,26
380,51,37,5,22,60,49,4,0,19,51
381,35,34,1,18,61,51,9,0,2,35
382,7,7,0,3,9,12,0,0,0,7
383,25,23,0,17,43,29,4,2,2,25
384,50,45,3,21,79,58,35,0,8,50
385,21,16,2,9,27,17,6,0,7,21
386,10,9,2,7,17,9,1,0,3,10
387,7,7,1,2,8,9,2,0,1,7
388,59,54,3,28,85,66,13,2,7,59
389,36,33,4,15,55,54,1,1,7,36
390,53,41,1,23,74,64,7,2,11,53
391,50,47,1,30,94,66,15,0,4,50
392,46,42,1,20,63,53,27,0,5,46
