name,source_url,domain_group,languages,size,license,access_status,download_method,notes,use_for_us
"riotu-lab/ARCADE-full","https://huggingface.co/datasets/riotu-lab/ARCADE-full","dialectid","ar city-level radio","6907 annotated clips","CC BY 4.0","open","HF datasets","city-scale fine-grained dialect tagging","DA-5"
"badrex/MADIS5-spoken-arabic-dialects","https://huggingface.co/datasets/badrex/MADIS5-spoken-arabic-dialects","dialectid eval","ar 5 varieties","1K-10K clips","CC BY-NC-ND 4.0","open","HF datasets","curated cross-domain ADI eval","DA-5 eval bar"
"Falah/classification_arabic_dialects","https://huggingface.co/datasets/Falah/classification_arabic_dialects","dialectid","ar","size not stated","CC BY-SA 4.0","open","HF datasets","community audio classification","DA-5"
"Arabic Speech Corpus (Halabi 2016)","https://en.arabicspeechcorpus.com/","tts-read","ar Levantine male","3.7h; ~1500 sents; phoneme-aligned","CC BY-SA","open","direct zip or HF halabi2016/","studio quality aligned","DA-6 clean read; DA-2 prosody"
"speechcolab/gigaspeech","https://huggingface.co/datasets/speechcolab/gigaspeech","asr-en","en","10000h","see repo terms","open","HF datasets","NO GigaSpeech-ar exists (verified negative); has um/uh fillers","DA-4 en filler mining"
"facebook/multilingual_librispeech","https://huggingface.co/datasets/facebook/multilingual_librispeech","asr-read","en de nl... NO Arabic","~44.5k h en + 7.7k other","CC-BY-4.0","open","HF datasets","no Arabic config verified","DA-1 non-ar; pretrain"
"PodcastFillers","https://podcastfillers.github.io/dataset/","filler-detection","en","145h; 199 eps; 85,803 filler events; >350 speakers","per-eps CC; annotations Adobe license","open","Zenodo 7121457 + HF ylacombe/podcast_fillers_processed","flagship filler benchmark; best transfer base for Arabic fillers","DA-4"
"Switchboard-1 LDC97S62","https://catalog.ldc.upenn.edu/LDC97S62","filler-conversations","en","~260h","LDC paid","paid","LDC order","um/uh gold standard","DA-4 reference"
"AMI Meeting Corpus","https://groups.inf.ed.ac.uk/ami/download/","filler-meetings","en","100h; word-level NXT","CC BY 4.0","open","direct download","disfluencies in word transcripts","DA-4 en; DA-8"
"MUSAN","https://www.openslr.org/17/","noise-vad","en","~109h","CC BY 4.0","open","openslr tar.gz","VAD/augmentation source","DA-4 negatives; DA-7"
"Fisher Levantine (LDC2007S02 + T04)","https://catalog.ldc.upenn.edu/LDC2007S02","arabic-asr","ar Levantine telephone","hours not verified","LDC paid","paid","LDC order","conversational Levantine w/ transcripts","DA-6; DA-5"
"SDAIANCAI/Saudilang-Code-Switch-Corpus","https://huggingface.co/datasets/SDAIANCAI/Saudilang-Code-Switch-Corpus","code-switch-asr","ar-en Saudi","5h transcribed","CC BY-SA 4.0","open","HF datasets (mirror MohamedRashad/SCC22)","Thmanyah podcast spontaneous; filler-rich (yaani)","DA-4 filler mining; DA-6"
"MBZUAI/MIXAT","https://huggingface.co/datasets/MBZUAI/MIXAT","code-switch-asr","ar-en Emirati","15h podcasts","CC BY-NC-SA 4.0","open","HF datasets; github mbzuai-nlp/mixat","podcast transcripts","DA-4; DA-6"
"vysakh25/arabic-male-host","https://huggingface.co/datasets/vysakh25/arabic-male-host","podcast-tts","ar","3769 clips / 15.3h thmanyah","unclear","open","HF datasets","single-speaker podcast clips","DA-4; DA-6"
"MadLook/arabic-whisper-multidialect","https://huggingface.co/datasets/MadLook/arabic-whisper-multidialect","podcast-asr","ar multi-dialect","size not stated","unclear","open","HF datasets (+small variant)","whisper-prepared multi-dialect","DA-4; DA-6"
"FatimahEmadEldin/Arabic-Emotional-Audio-Dataset-Baved","https://huggingface.co/datasets/FatimahEmadEldin/Arabic-Emotional-Audio-Dataset-Baved","emotion","ar","word-level clips","unclear","open","HF; orig github 40uf411/BAVED","transcripts + en glosses","DA-2 Emo"
"FatimahEmadEldin/Yemeni-Speech-Emotion-Dataset","https://huggingface.co/datasets/FatimahEmadEldin/Yemeni-Speech-Emotion-Dataset","emotion","ar Yemeni","stratified splits","unclear","open","HF datasets","Yemeni emotion classification","DA-2; DA-5"
"FaresElmenshawi/quran-recitations-asr","https://huggingface.co/datasets/FaresElmenshawi/quran-recitations-asr","asr-read","ar Quranic","581216 ayah clips / 2882h / 44 reciters diacritized","unclear","open","HF datasets","ayah-aligned diacritized","DA-6; DA-5 speaker variety"
"Nexdata/UAE_Arabic_Spontaneous_Speech_Data","https://huggingface.co/datasets/Nexdata/UAE_Arabic_Spontaneous_Speech_Data","arabic-asr","ar UAE/Gulf","749h (HF sample only)","paid","paid","HF sample; buy full","spontaneous Gulf transcribed","DA-6; DA-5"
"Ramsa (Emirati)","https://arxiv.org/abs/2603.08125","arabic-asr","ar Emirati","41h interviews+podcast","restricted","request","per-paper aclanthology 2026.lrec-1.250","sociolinguistic Emirati corpus","DA-6; DA-5"
