name,source_url,domain_group,languages,size,license,access_status,download_method,notes,use_for_us
Common Voice 26 (MDC),https://mozilladatacollective.com/datasets/cmqinoh7z00wsnr07v5ixz5uo,arabic-asr,ar,157.46h rec / 92h validated; 136185 clips,CC0,gated,MDC account; rehost forbidden,official only since Oct 2025; no official dialect splits,DA-6; DA-1
FLEURS ar_eg (google/fleurs),https://huggingface.co/datasets/google/fleurs,arabic-asr-langid,ar_eg + 101,~12h/lang; ~10h train,CC-BY-4.0,open,already downloaded data/fleurs/,one Arabic config; parallel 102 langs,DA-1; DA-5; DA-6
QCRI/QASR,https://huggingface.co/datasets/QCRI/QASR,arabic-asr,ar multi-dialect broadcast,~2000h transcribed,CC BY-NC 2.0,open,HF datasets,largest transcribed Arabic speech; Aljazeera; segment annotations,DA-6; DA-3; DA-7
QCRI/mgb2 (MGB-2),https://huggingface.co/datasets/QCRI/mgb2,arabic-asr,ar Aljazeera,~1200h lightly supervised,QCRI-ALT (other),gated(auto),HF gated accept,official MGB-2; mirror Esra11/mgb2-arabic open,DA-6; DA-5
ArabicSpeech/MGB-3,https://huggingface.co/datasets/ArabicSpeech/MGB-3,arabic-asr,ar Egyptian YouTube,~16h,unclear,open,HF datasets,Egyptian dialect in the wild,DA-6; DA-5
ArabicSpeech/MGB-5,https://huggingface.co/datasets/ArabicSpeech/MGB-5,dialectid-asr,ar 17-way dialect,~14h dev/test,unclear,open,HF datasets,recognition + dialect-ID challenge data,DA-5; DA-6
ADI17 (MIT CSAIL),https://sls.csail.mit.edu/downloads/adi17/,dialectid,ar 17 countries,17-way YouTube speech,MIT (metadata; audio via YouTube),open,github swshon/arabic-dialect-identification,audio re-downloaded from YouTube IDs,DA-5
UBC-NLP/NADI2025_subtask1_SLID,https://huggingface.co/datasets/UBC-NLP/NADI2025_subtask1_SLID,dialectid,ar multi-country,size not stated,unclear,gated,HF gated (contact),official NADI 2025 spoken dialect ID,DA-5
UBC-NLP/Casablanca,https://huggingface.co/datasets/UBC-NLP/Casablanca,dialectid-asr,ar 8 dialects incl Moroccan,48h segmented,CC BY-NC-ND 4.0,open,HF datasets,per-segment dialect + gender labels,DA-5; DA-6
riotu-lab/ARCADE-full,https://huggingface.co/datasets/riotu-lab/ARCADE-full,dialectid,ar city-level radio,6907 annotated clips,CC BY 4.0,open,HF datasets,city-scale fine-grained dialect tagging,DA-5
Falah/classification_arabic_dialects,https://huggingface.co/datasets/Falah/classification_arabic_dialects,dialectid,ar,size not stated,CC BY-SA 4.0,open,HF datasets,community audio classification,DA-5
Arabic Speech Corpus (Halabi 2016),https://en.arabicspeechcorpus.com/,tts-read,ar Levantine male,3.7h; ~1500 sents; phoneme-aligned,CC BY-SA,open,direct zip or HF halabi2016/,studio quality aligned,DA-6 clean read; DA-2 prosody
speechcolab/gigaspeech,https://huggingface.co/datasets/speechcolab/gigaspeech,asr-en,en,10000h,see repo terms,open,HF datasets,NO GigaSpeech-ar exists (verified negative); has um/uh fillers,DA-4 en filler mining
facebook/multilingual_librispeech,https://huggingface.co/datasets/facebook/multilingual_librispeech,asr-read,en de nl... NO Arabic,~44.5k h en + 7.7k other,CC-BY-4.0,open,HF datasets,no Arabic config verified,DA-1 non-ar; pretrain
PodcastFillers,https://podcastfillers.github.io/dataset/,filler-detection,en,"145h; 199 eps; 85,803 filler events; >350 speakers",per-eps CC; annotations Adobe license,open,Zenodo 7121457 + HF ylacombe/podcast_fillers_processed,flagship filler benchmark; best transfer base for Arabic fillers,DA-4
AMI Meeting Corpus,https://groups.inf.ed.ac.uk/ami/download/,filler-meetings,en,100h; word-level NXT,CC BY 4.0,open,direct download,disfluencies in word transcripts,DA-4 en; DA-8
MUSAN,https://www.openslr.org/17/,noise-vad,en,~109h,CC BY 4.0,open,openslr tar.gz,VAD/augmentation source,DA-4 negatives; DA-7
Fisher Levantine (LDC2007S02 + T04),https://catalog.ldc.upenn.edu/LDC2007S02,arabic-asr,ar Levantine telephone,hours not verified,LDC paid,paid,LDC order,conversational Levantine w/ transcripts,DA-6; DA-5
SDAIANCAI/Saudilang-Code-Switch-Corpus,https://huggingface.co/datasets/SDAIANCAI/Saudilang-Code-Switch-Corpus,code-switch-asr,ar-en Saudi,5h transcribed,CC BY-SA 4.0,open,HF datasets (mirror MohamedRashad/SCC22),Thmanyah podcast spontaneous; filler-rich (yaani),DA-4 filler mining; DA-6
MBZUAI/MIXAT,https://huggingface.co/datasets/MBZUAI/MIXAT,code-switch-asr,ar-en Emirati,15h podcasts,CC BY-NC-SA 4.0,open,HF datasets; github mbzuai-nlp/mixat,podcast transcripts,DA-4; DA-6
vysakh25/arabic-male-host,https://huggingface.co/datasets/vysakh25/arabic-male-host,podcast-tts,ar,3769 clips / 15.3h thmanyah,unclear,open,HF datasets,single-speaker podcast clips,DA-4; DA-6
MadLook/arabic-whisper-multidialect,https://huggingface.co/datasets/MadLook/arabic-whisper-multidialect,podcast-asr,ar multi-dialect,size not stated,unclear,open,HF datasets (+small variant),whisper-prepared multi-dialect,DA-4; DA-6
FatimahEmadEldin/Arabic-Emotional-Audio-Dataset-Baved,https://huggingface.co/datasets/FatimahEmadEldin/Arabic-Emotional-Audio-Dataset-Baved,emotion,ar,word-level clips,unclear,open,HF; orig github 40uf411/BAVED,transcripts + en glosses,DA-2 Emo
FatimahEmadEldin/Yemeni-Speech-Emotion-Dataset,https://huggingface.co/datasets/FatimahEmadEldin/Yemeni-Speech-Emotion-Dataset,emotion,ar Yemeni,stratified splits,unclear,open,HF datasets,Yemeni emotion classification,DA-2; DA-5
FaresElmenshawi/quran-recitations-asr,https://huggingface.co/datasets/FaresElmenshawi/quran-recitations-asr,asr-read,ar Quranic,581216 ayah clips / 2882h / 44 reciters diacritized,unclear,open,HF datasets,ayah-aligned diacritized,DA-6; DA-5 speaker variety
Nexdata/UAE_Arabic_Spontaneous_Speech_Data,https://huggingface.co/datasets/Nexdata/UAE_Arabic_Spontaneous_Speech_Data,arabic-asr,ar UAE/Gulf,749h (HF sample only),paid,paid,HF sample; buy full,spontaneous Gulf transcribed,DA-6; DA-5
Ramsa (Emirati),https://arxiv.org/abs/2603.08125,arabic-asr,ar Emirati,41h interviews+podcast,restricted,request,per-paper aclanthology 2026.lrec-1.250,sociolinguistic Emirati corpus,DA-6; DA-5
SemEvalWorkshop/sem_eval_2018_task_1,https://huggingface.co/datasets/SemEvalWorkshop/sem_eval_2018_task_1,emoji_affect_tweets,"ar,en,es",~10.7k tweets; Arabic EI-reg + E-c,unknown (free research use),open,HF (trust_remote_code) or saifmohammad.com AIT-2018,EI-reg = intensity regression; official XML/CSV at alt.qcri.org/semeval2018/task1,DA-2
cardiffnlp/tweet_eval (emoji),https://huggingface.co/datasets/cardiffnlp/tweet_eval,emoji_prediction_tweets,en,100k train / 10k test; 20 emoji classes; ~5.9MB,unknown (TweetEval research),open,HF config 'emoji',large English emoji-suggestion corpus,DA-2
TEAD,https://github.com/HSMAabdellaoui/TEAD,emoji_sentiment_tweets,ar,6M tweets (3.12M pos / 2.11M neg / 378k neu),unclear (paper 2018),request,email hsm.abdellaoui@gmail.com or README Drive link,very large emoji Arabic tweets; dedup + TOS check,DA-2
Twitter Emoji Prediction (Kaggle),https://www.kaggle.com/datasets/hariharasudhanas/twitter-emoji-prediction,emoji_prediction_tweets,en,~1-2M tweets,unclear (Kaggle terms),open,kaggle datasets download,en supplement; verify label quality,DA-2
SANAD,https://data.mendeley.com/datasets/57zpx667y9/2,news_articles,ar,"~185k articles, 7 categories",CC BY 4.0,open,Mendeley download; HF khalidalt/SANAD,title+body pairs; categories = DA-3 labels too,DA-8 + DA-3
Fumika/Wikinews-multilingual,https://huggingface.co/datasets/Fumika/Wikinews-multilingual,news_articles,ar + 32,15.2k articles; ~9.9k non-en incl ar,CC BY 2.5,open,HF datasets,genuine wikinews headline/article pairs incl Arabic,DA-8
arbml/Arabic_News,https://huggingface.co/datasets/arbml/Arabic_News,news_articles,ar,1M-10M rows,unclear,open,HF datasets,noisy scrape; filter for title/body structure,DA-8
arbml/news_articles_aljazeera,https://huggingface.co/datasets/arbml/news_articles_aljazeera,news_articles,ar,10k-100k,unclear,open,HF datasets,clean journalistic Arabic title+body,DA-8
fancyzhx/ag_news,https://huggingface.co/datasets/fancyzhx/ag_news,news_classification,en,120k train / 7.6k test; 4 classes,unknown (standard research),open,HF datasets,canonical en title+class corpus,DA-8 (en arm) + DA-3
Harvard/gigaword,https://huggingface.co/datasets/Harvard/gigaword,headline_generation,en,~3.8M first-sentence->headline,unclear (LDC-style),gated,HF gated (token) ; orig via LDC,huge en headline gen; ag_news = ungated fallback,DA-8 (en)
ANERcorp,https://camel.abudhabi.nyu.edu/anercorp/,ner_temporal_numeric,ar,~316k tokens / 15k tweets; DATE MONEY PERCENT + PER/ORG/LOC,free research (CAMeL Lab),open,direct download from CAMeL page,classic Arabic NER w/ temporal+numeric — direct DA-9 signal; CLEANANERCorp cleaner,DA-9 + DA-7
CLEANANERCorp,https://github.com/iwan-rg/CLEANANERCorp,ner_temporal_numeric,ar,corrected ANERcorp,unclear (LREC-COLING 2024),open,git clone,drop-in ANERcorp replacement; cite AlDuwais 2024,DA-9 + DA-7
Wojood-Fine (SinaLab),https://github.com/SinaLab/Wojood-Fine,ner_nested,ar MSA+dialect,~550k tokens; 21 types incl DATE; nested,MIT,open,git clone; HF mirror specific-AI 401,rich DATE/numeric annotations,DA-9 + DA-7
Enriched-Arabic-TimeML-Corpus,https://github.com/nafaa5/Enriched-Arabic-TimeML-Corpus,temporal_annotations,ar,Arabic TimeML TIMEX3,unclear,open,git clone,TIMEX3 Arabic; pairs with DOI 10.1007/978-3-319-96292-4_43,DA-9
hijridate (hijri-converter),https://github.com/dralshehri/hijridate,hijri_normalizer_tool,"ar,en",PyPI package,MIT,open,uv install hijridate,tooling for DA-9 Hijri<->Gregorian normalization,DA-9 (tooling)
tafqit,https://github.com/MohsenAlyafei/tafqit,numeral_to_words_tool,ar,JS package,MIT,open,npm/git,Arabic tafqeet number->words; py alt Nadern96/tafqeet-py,DA-9 (tooling)
mohammed-bahumaish/arabic-speakers-numbers,https://huggingface.co/datasets/mohammed-bahumaish/arabic-speakers-numbers,spoken_numbers,ar,10k-100k audio+text rows,unclear,gated,HF gated manual,numeral transcripts for DA-9 numeric slots; audio later,DA-9
Bisher/synthetic-arabic-pii,https://huggingface.co/datasets/Bisher/synthetic-arabic-pii,pii_masking,ar,synthetic PII rows + adversarial heldout,unclear,open,HF datasets,placeholder-first synthetic Arabic PII; verify schema,DA-7 + DA-9
mabahboh/sitr-arabic-pii,https://huggingface.co/datasets/mabahboh/sitr-arabic-pii,pii_masking,"ar,en",Arabic+English PII detection,Apache-2.0,open,HF datasets,clean license; direct redaction pairs,DA-7
FouratAI/arabic-pii-dataset,https://huggingface.co/datasets/FouratAI/arabic-pii-dataset,pii_masking,ar,PII dataset,Apache-2.0,open,HF datasets,audit labels before committing,DA-7
KhalidAlharbi377/pii-detection-multisource-en-saudi-arabic,https://huggingface.co/datasets/KhalidAlharbi377/pii-detection-multisource-en-saudi-arabic,pii_detection,en + sa-ar,multisource corpus,CC BY 4.0,open,HF datasets,mostly EN-tagged; check Arabic share,DA-7
roneneldan/TinyStories,https://huggingface.co/datasets/roneneldan/TinyStories,stories_pretraining,en,2.1M+ stories,CDLA-Sharing 1.0,open,HF parquet,en smoke-pretrain baseline,pretraining
Gabrui/multilingual_TinyStories,https://huggingface.co/datasets/Gabrui/multilingual_TinyStories,stories_pretraining,ar + 6,10M<n<100M rows,CDLA-Sharing 1.0,open,HF datasets,Arabic TinyStories derivative; fits SLM smoke runs,pretraining
sboughorbel/tinystories_dataset_arabic,https://huggingface.co/datasets/sboughorbel/tinystories_dataset_arabic,stories_pretraining,ar,1M<n<10M JSON shards,unclear,open,HF datasets,dedicated Arabic TinyStories; sample-filter,pretraining
wikimedia/wikipedia (20231101.ar),https://huggingface.co/datasets/wikimedia/wikipedia/tree/main/20231101.ar,encyclopedia_pretraining,ar,~1.2M articles parquet shards,CC BY-SA 3.0 + GFDL,open,HF config; take 1-3 shards,canonical Arabic pretraining subset,pretraining
FreedomIntelligence/Alpaca-Arabic-GPT4,https://huggingface.co/datasets/FreedomIntelligence/Alpaca-Arabic-GPT4,instruction_sft,ar,52k instructions,Apache-2.0,open,HF datasets,light SFT smoke after pretrain,pretraining
Yasbok/Alpaca_arabic_instruct,https://huggingface.co/datasets/Yasbok/Alpaca_arabic_instruct,instruction_sft,ar,Alpaca-style ar,unclear (derivative),open,HF datasets,alt SFT set; inherits Alpaca terms,pretraining
