name,source_url,domain_group,languages,size,license,access_status,download_method,notes,use_for_us
"CLEANANERCorp","https://github.com/iwan-rg/CLEANANERCorp","ner_temporal_numeric","ar","corrected ANERcorp","unclear (LREC-COLING 2024)","open","git clone","drop-in ANERcorp replacement; cite AlDuwais 2024","DA-9 + DA-7"
"Wojood-Fine (SinaLab)","https://github.com/SinaLab/Wojood-Fine","ner_nested","ar MSA+dialect","~550k tokens; 21 types incl DATE; nested","MIT","open","git clone; HF mirror specific-AI 401","rich DATE/numeric annotations","DA-9 + DA-7"
"Enriched-Arabic-TimeML-Corpus","https://github.com/nafaa5/Enriched-Arabic-TimeML-Corpus","temporal_annotations","ar","Arabic TimeML TIMEX3","unclear","open","git clone","TIMEX3 Arabic; pairs with DOI 10.1007/978-3-319-96292-4_43","DA-9"
"hijridate (hijri-converter)","https://github.com/dralshehri/hijridate","hijri_normalizer_tool","ar,en","PyPI package","MIT","open","uv install hijridate","tooling for DA-9 Hijri<->Gregorian normalization","DA-9 (tooling)"
"tafqit","https://github.com/MohsenAlyafei/tafqit","numeral_to_words_tool","ar","JS package","MIT","open","npm/git","Arabic tafqeet number->words; py alt Nadern96/tafqeet-py","DA-9 (tooling)"
"mohammed-bahumaish/arabic-speakers-numbers","https://huggingface.co/datasets/mohammed-bahumaish/arabic-speakers-numbers","spoken_numbers","ar","10k-100k audio+text rows","unclear","gated","HF gated manual","numeral transcripts for DA-9 numeric slots; audio later","DA-9"
"Bisher/synthetic-arabic-pii","https://huggingface.co/datasets/Bisher/synthetic-arabic-pii","pii_masking","ar","synthetic PII rows + adversarial heldout","unclear","open","HF datasets","placeholder-first synthetic Arabic PII; verify schema","DA-7 + DA-9"
"mabahboh/sitr-arabic-pii","https://huggingface.co/datasets/mabahboh/sitr-arabic-pii","pii_masking","ar,en","Arabic+English PII detection","Apache-2.0","open","HF datasets","clean license; direct redaction pairs","DA-7"
"FouratAI/arabic-pii-dataset","https://huggingface.co/datasets/FouratAI/arabic-pii-dataset","pii_masking","ar","PII dataset","Apache-2.0","open","HF datasets","audit labels before committing","DA-7"
"KhalidAlharbi377/pii-detection-multisource-en-saudi-arabic","https://huggingface.co/datasets/KhalidAlharbi377/pii-detection-multisource-en-saudi-arabic","pii_detection","en + sa-ar","multisource corpus","CC BY 4.0","open","HF datasets","mostly EN-tagged; check Arabic share","DA-7"
"roneneldan/TinyStories","https://huggingface.co/datasets/roneneldan/TinyStories","stories_pretraining","en","2.1M+ stories","CDLA-Sharing 1.0","open","HF parquet","en smoke-pretrain baseline","pretraining"
"Gabrui/multilingual_TinyStories","https://huggingface.co/datasets/Gabrui/multilingual_TinyStories","stories_pretraining","ar + 6","10M<n<100M rows","CDLA-Sharing 1.0","open","HF datasets","Arabic TinyStories derivative; fits SLM smoke runs","pretraining"
"sboughorbel/tinystories_dataset_arabic","https://huggingface.co/datasets/sboughorbel/tinystories_dataset_arabic","stories_pretraining","ar","1M<n<10M JSON shards","unclear","open","HF datasets","dedicated Arabic TinyStories; sample-filter","pretraining"
"wikimedia/wikipedia (20231101.ar)","https://huggingface.co/datasets/wikimedia/wikipedia/tree/main/20231101.ar","encyclopedia_pretraining","ar","~1.2M articles parquet shards","CC BY-SA 3.0 + GFDL","open","HF config; take 1-3 shards","canonical Arabic pretraining subset","pretraining"
"FreedomIntelligence/Alpaca-Arabic-GPT4","https://huggingface.co/datasets/FreedomIntelligence/Alpaca-Arabic-GPT4","instruction_sft","ar","52k instructions","Apache-2.0","open","HF datasets","light SFT smoke after pretrain","pretraining"
"Yasbok/Alpaca_arabic_instruct","https://huggingface.co/datasets/Yasbok/Alpaca_arabic_instruct","instruction_sft","ar","Alpaca-style ar","unclear (derivative)","open","HF datasets","alt SFT set; inherits Alpaca terms","pretraining"
