[prepare] trying dataset: bigcode/the-stack-smol (python)
[prepare] bigcode/the-stack-smol failed: DatasetNotFoundError: Dataset 'bigcode/the-stack-smol' is a gated dataset on the Hub. Visit the dataset page at https://huggingface.co/datasets/bigcode/the-stack-smol to ask for access.
[prepare] trying dataset: bigcode/starcoderdata (python)
[prepare] bigcode/starcoderdata failed: DatasetNotFoundError: Dataset 'bigcode/starcoderdata' is a gated dataset on the Hub. Visit the dataset page at https://huggingface.co/datasets/bigcode/starcoderdata to ask for access.
[prepare] trying dataset: nickrosh/Evol-Instruct-Code-80k-v1
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 6750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 7000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 7250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 7500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 7750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 8000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 8250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 8500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 8750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 9000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 9250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 9500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 9750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 10000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 10250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 10500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 10750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 11000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 11250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 11500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 11750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 12000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 12250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 12500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 12750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 13000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 13250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 13500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 13750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 14000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 14250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 14500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 14750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 15000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 15250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 15500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 15750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 16000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 16250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 16500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 16750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 17000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 17250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 17500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 17750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 18000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 18250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 18500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 18750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 19000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 19250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 19500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 19750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 20000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 20250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 20500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 20750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 21000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 21250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 21500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 21750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 22000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 22250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 22500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 22750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 23000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 23250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 23500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 23750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 24000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 24250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 24500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 24750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 25000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 25250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 25500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 25750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 26000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 26250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 26500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 26750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 27000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 27250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 27500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 27750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 28000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 28250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 28500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 28750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 29000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 29250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 29500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 29750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 30000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 30250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 30500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 30750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 31000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 31250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 31500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 31750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 32000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 32250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 32500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 32750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 33000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 33250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 33500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 33750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 34000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 34250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 34500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 34750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 35000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 35250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 35500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 35750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 36000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 36250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 36500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 36750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 37000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 37250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 37500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 37750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 38000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 38250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 38500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 38750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 39000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 39250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 39500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 39750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 40000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 40250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 40500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 40750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 41000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 41250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 41500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 41750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 42000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 42250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 42500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 42750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 43000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 43250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 43500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 43750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 44000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 44250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 44500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 44750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 45000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 45250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 45500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 45750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 46000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 46250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 46500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 46750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 47000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 47250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 47500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 47750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 48000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 48250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 48500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 48750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 49000/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 49250/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 49500/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 49750/50000 rows
[prepare] nickrosh/Evol-Instruct-Code-80k-v1: 50000/50000 rows
[prepare] OK nickrosh/Evol-Instruct-Code-80k-v1: 49000 train + 1000 val rows
